date,Actual,OLS_Pred,ARIMAX_Pred,regime
2018-10-01,1059572.8350300344,-892838.8119991624,1101410.7318080647,2015-2019
2018-11-01,993472.0095496797,-674046.9484601448,1031673.5416485931,2015-2019
2018-12-01,1052250.1554202859,-492760.9161363144,1102211.6098293224,2015-2019
2019-01-01,671330.0007900083,-266163.25584214315,1067855.4783832247,2015-2019
2019-02-01,608673.6376579622,-112579.68926136712,977959.0013723184,2015-2019
2019-03-01,728767.3615520295,-95953.70215865379,1158688.3596682814,2015-2019
2019-04-01,1539055.4886543194,-189793.27054587204,1162963.138067914,2015-2019
2019-05-01,1624166.9994535898,-412308.9301013008,1223685.204652681,2015-2019
2019-06-01,1664476.5118920906,-707919.4114411403,1264839.9025841167,2015-2019
2019-07-01,1587527.7418260558,-1023435.5728337384,1322320.2411988678,2015-2019
2019-08-01,1562101.611183276,-1194930.0721396883,1292422.6121976024,2015-2019
2019-09-01,1395705.646990668,-1122098.3513534802,1152840.0601924893,2015-2019
2018-11-01,993472.0095496797,267892.510885245,928609.5371876716,2015-2019
2018-12-01,1052250.1554202859,512680.0885154827,992612.4628940137,2015-2019
2019-01-01,671330.0007900083,707541.7010939757,962168.4634900911,2015-2019
2019-02-01,608673.6376579622,779373.5930147431,881623.548856446,2015-2019
2019-03-01,728767.3615520295,961712.3128297207,1045088.5104780383,2015-2019
2019-04-01,1539055.4886543194,873006.296816155,1049485.09278674,2015-2019
2019-05-01,1624166.9994535898,707267.3688475225,1104851.5504531083,2015-2019
2019-06-01,1664476.5118920906,450274.6514477943,1142598.564247727,2015-2019
2019-07-01,1587527.7418260558,187821.10421690604,1195139.6570881712,2015-2019
2019-08-01,1562101.611183276,-11178.480006466158,1168719.9429929876,2015-2019
2019-09-01,1395705.646990668,-66571.01965482342,1043034.9524690385,2015-2019
2019-10-01,1160395.1928038835,7001.245772046164,1078019.629326711,2015-2019
2018-12-01,1052250.1554202859,961486.7037353002,991185.7947634584,2015-2019
2019-01-01,671330.0007900083,1142391.6053738617,960785.5520795975,2015-2019
2019-02-01,608673.6376579622,1180591.988663451,880356.4035959966,2015-2019
2019-03-01,728767.3615520295,1443147.7815757913,1043586.4192585327,2015-2019
2019-04-01,1539055.4886543194,1363230.7721832024,1047976.6823751722,2015-2019
2019-05-01,1624166.9994535898,1229453.2671904308,1103263.5625713354,2015-2019
2019-06-01,1664476.5118920906,993784.7761331375,1140956.323099077,2015-2019
2019-07-01,1587527.7418260558,755956.9242657712,1193421.8993607862,2015-2019
2019-08-01,1562101.611183276,540133.7853379654,1167040.1579524258,2015-2019
2019-09-01,1395705.646990668,419110.4951773345,1041535.8127598778,2015-2019
2019-10-01,1160395.1928038835,501479.92029530706,1076470.2066209863,2015-2019
2019-11-01,1094725.827493716,640530.2678382342,1010768.01145048,2015-2019
2019-01-01,671330.0007900083,771015.6781600418,959404.6281341037,2015-2019
2019-02-01,608673.6376579622,840795.955576261,879091.0795472916,2015-2019
2019-03-01,728767.3615520295,1041570.8355943332,1042086.48689052,2015-2019
2019-04-01,1539055.4886543194,961500.8891733413,1046470.4398529204,2015-2019
2019-05-01,1624166.9994535898,808035.5257757591,1101677.8569652385,2015-2019
2019-06-01,1664476.5118920906,558989.4531124359,1139316.442185438,2015-2019
2019-07-01,1587527.7418260558,301382.8295489746,1191706.6103735375,2015-2019
2019-08-01,1562101.611183276,94924.54819043036,1165362.7870808328,2015-2019
2019-09-01,1395705.646990668,20530.79838696462,1040038.8276230282,2015-2019
2019-10-01,1160395.1928038835,87923.05426735274,1074923.0108099792,2015-2019
2019-11-01,1094725.827493716,250807.03746085012,1009315.2484481744,2015-2019
2019-12-01,1171180.9797024005,506024.2223524416,1070569.4642498111,2015-2019
2019-02-01,608673.6376579622,180211.76790551923,579799.7984120105,2020+
2019-03-01,728767.3615520295,258948.6400665222,687302.543688238,2020+
2019-04-01,1539055.4886543194,176609.56081367008,690193.9564054282,2020+
2019-05-01,1624166.9994535898,-16894.256341775377,726605.711783739,2020+
2019-06-01,1664476.5118920906,-292814.58005842305,751430.0384682885,2020+
2019-07-01,1587527.7418260558,-588729.8338814118,785983.6924373761,2020+
2019-08-01,1562101.611183276,-775422.6235816071,768608.7653197296,2020+
2019-09-01,1395705.646990668,-756859.1289608958,685952.02110169,2020+
2019-10-01,1160395.1928038835,-716797.3606747263,708959.6966744536,2020+
2019-11-01,1094725.827493716,-506244.0181566402,665688.4495276135,2020+
2019-12-01,1171180.9797024005,-298405.6529569438,706088.3384406959,2020+
2020-01-01,-1912013.956690071,-62714.946070107806,683017.6224388089,2020+
2019-03-01,728767.3615520295,-53972.32598682806,686314.6933485132,2020+
2019-04-01,1539055.4886543194,-137404.28760113387,689201.9504879967,2020+
2019-05-01,1624166.9994535898,-347471.17372224363,725561.371806495,2020+
2019-06-01,1664476.5118920906,-634905.1708342623,750350.0189555992,2020+
2019-07-01,1587527.7418260558,-946932.8227691153,784854.0095219092,2020+
2019-08-01,1562101.611183276,-1126110.308063026,767504.0551145335,2020+
2019-09-01,1395705.646990668,-1070106.727283238,684966.1120295982,2020+
2019-10-01,1160395.1928038835,-1040651.353893901,707940.7189522156,2020+
2019-11-01,1094725.827493716,-810212.3519589392,664731.6649841173,2020+
2019-12-01,1171180.9797024005,-620485.7275272667,705073.4876883604,2020+
2020-01-01,-1912013.956690071,-373814.4467537668,682035.930919536,2020+
2020-02-01,-1753814.2115825776,-195551.11579409242,619270.4338700674,2020+
2019-04-01,1539055.4886543194,913467.8211228311,688211.369436152,2020+
2019-05-01,1624166.9994535898,758501.7181057121,724518.5318982935,2020+
2019-06-01,1664476.5118920906,509606.99503215915,749271.5503956398,2020+
2019-07-01,1587527.7418260558,251825.60802789073,783725.9487759398,2020+
2019-08-01,1562101.611183276,48003.593944270295,766400.9312309786,2020+
2019-09-01,1395705.646990668,-20902.15386389335,683981.6192428004,2020+
2019-10-01,1160395.1928038835,44356.5896342656,706923.2051420348,2020+
2019-11-01,1094725.827493716,208153.88830906298,663776.2549135677,2020+
2019-12-01,1171180.9797024005,458202.4844974403,704060.0948953113,2020+
2020-01-01,-1912013.956690071,667475.5846812836,681055.6496548449,2020+
2020-02-01,-1753814.2115825776,747736.5805709286,618380.3649693961,2020+
2020-03-01,-1558712.8317273518,943740.1857118678,741454.9474576227,2020+
2019-05-01,1624166.9994535898,1460682.3543154895,1578269.0935610668,2020+
2019-06-01,1664476.5118920906,1236276.2022936894,1632190.315181813,2020+
2019-07-01,1587527.7418260558,1012262.7410067393,1707244.72675382,2020+
2019-08-01,1562101.611183276,791686.8927276477,1669504.4364835157,2020+
2019-09-01,1395705.646990668,642556.227399758,1489964.718144836,2020+
2019-10-01,1160395.1928038835,729542.2565577633,1539939.9697849576,2020+
2019-11-01,1094725.827493716,850878.3355514787,1445949.9681505207,2020+
2019-12-01,1171180.9797024005,1139250.646499694,1533703.0576799947,2020+
2020-01-01,-1912013.956690071,1325757.653636295,1483590.8751503965,2020+
