date,Operating_PL,Predicted,Lower,Upper,Type
2002-10-01,-901910.0,-1059043.0533503247,-2778833.7102903603,660747.6035897108,history
2002-11-01,-901910.0,-966502.1262057482,-2686292.7831457835,753288.5307342873,history
2002-12-01,-901910.0,-769953.6868074636,-2489744.3437474994,949836.9701325719,history
2003-01-01,-973889.3333333334,-829560.4798554243,-2549351.13679546,890230.1770846113,history
2003-02-01,-973889.3333333334,-970082.8481067084,-2689873.505046744,749707.8088333271,history
2003-03-01,-973889.3333333334,-867132.6793713048,-2586923.3363113403,852657.9775687307,history
2003-04-01,-67959.0,-773900.149646413,-2493690.8065864486,945890.5072936225,history
2003-05-01,-67959.0,-45993.346512045246,-1765784.0034520808,1673797.3104279903,history
2003-06-01,-67959.0,-189455.83721826132,-1909246.4941582968,1530334.8197217742,history
2003-07-01,-153337.33333333334,-15018.055721449899,-1734808.7126614854,1704772.6012185856,history
2003-08-01,-153337.33333333334,-173919.4857703203,-1893710.1427103558,1545871.1711697152,history
2003-09-01,-153337.33333333334,-407693.0071284808,-2127483.6640685163,1312097.6498115547,history
2003-10-01,-332542.3333333333,-401270.6307368877,-2121061.287676923,1318520.0262031478,history
2003-11-01,-332542.3333333333,-448635.16644794494,-2168425.8233879805,1271155.4904920906,history
2003-12-01,-332542.3333333333,-236388.38270566915,-1956179.0396457047,1483402.2742343664,history
2004-01-01,-348167.3333333333,-362142.03143732087,-2081932.6883773564,1357648.6255027147,history
2004-02-01,-348167.3333333333,-421072.32932932535,-2140862.986269361,1298718.3276107102,history
2004-03-01,-348167.3333333333,-244501.92073908378,-1964292.5776791193,1475288.7362009517,history
2004-04-01,-695356.3333333334,-112882.30591631774,-1832672.9628563533,1606908.3510237178,history
2004-05-01,-695356.3333333334,-659947.148534056,-2379737.8054740913,1059843.5084059795,history
2004-06-01,-695356.3333333334,-340109.6182197451,-2059900.2751597806,1379681.0387202904,history
2004-07-01,-357256.6666666667,-322862.6525447343,-2042653.3094847698,1396928.0043953012,history
2004-08-01,-357256.6666666667,-169195.39549949672,-1888986.0524395322,1550595.2614405388,history
2004-09-01,-357256.6666666667,-440445.6506735042,-2160236.3076135395,1279345.0062665313,history
2004-10-01,-522219.6666666667,-579097.7994300372,-2298888.4563700724,1140692.8575099984,history
2004-11-01,-522219.6666666667,-572728.0458461505,-2292518.702786186,1147062.611093885,history
2004-12-01,-522219.6666666667,-399210.14636784233,-2119000.803307878,1320580.5105721932,history
2005-01-01,-721050.3333333334,-392367.268832023,-2112157.925772059,1327423.3881080125,history
2005-02-01,-721050.3333333334,-576800.2804925467,-2296590.9374325825,1142990.3764474888,history
2005-03-01,-721050.3333333334,-351470.1674146014,-2071260.824354637,1368320.489525434,history
2005-04-01,-515163.0,-259528.75905001233,-1979319.4159900479,1460261.8978900232,history
2005-05-01,-515163.0,-256208.56266374886,-1975999.2196037844,1463582.0942762867,history
2005-06-01,-515163.0,-271088.1010290305,-1990878.757969066,1448702.555911005,history
2005-07-01,-850670.3333333334,-175778.4231565236,-1895569.0800965591,1544012.233783512,history
2005-08-01,-850670.3333333334,-581803.9594913623,-2301594.616431398,1137986.6974486732,history
2005-09-01,-850670.3333333334,-849168.5151957748,-2568959.1721358104,870622.1417442607,history
2005-10-01,-6252726.0,-1028457.5269590328,-2748248.1838990683,691333.1299810028,history
2005-11-01,-6252726.0,-4488402.81970732,-6208193.476647356,-2768612.1627672845,history
2005-12-01,-6252726.0,-3044321.094366568,-4764111.751306604,-1324530.4374265326,history
2006-01-01,6739542.666666667,-3084182.800843046,-4803973.457783082,-1364392.1439030105,history
2006-02-01,6739542.666666667,6297698.908781799,4577908.251841763,8017489.565721834,history
2006-03-01,6739542.666666667,3120309.5128780296,1400518.855937994,4840100.169818065,history
2006-04-01,-428844.0,3375914.398018294,1656123.7410782585,5095705.05495833,history
2006-05-01,-428844.0,-2119129.1115099927,-3838919.7684500283,-399338.4545699572,history
2006-06-01,-428844.0,-190114.6642526046,-1909905.32119264,1529675.992687431,history
2006-07-01,96103.0,-182148.51833236357,-1901939.175272399,1537642.138607672,history
2006-08-01,96103.0,81947.78015476186,-1637842.8767852737,1801738.4370947974,history
2006-09-01,96103.0,-80917.60830215435,-1800708.2652421899,1638873.0486378812,history
2006-10-01,-604927.6666666666,-191469.90099849692,-1911260.5579385324,1528320.7559415386,history
2006-11-01,-604927.6666666666,-453167.2076619973,-2172957.864602033,1266623.4492780382,history
2006-12-01,-604927.6666666666,-279574.9250964399,-1999365.5820364754,1440215.7318435956,history
2007-01-01,-24193.666666666668,-305513.94080918794,-2025304.5977492235,1414276.7161308476,history
2007-02-01,-24193.666666666668,58548.977176152635,-1661241.679763883,1778339.6341161882,history
2007-03-01,-24193.666666666668,72006.58733262797,-1647784.0696074076,1791797.2442726635,history
2007-04-01,904762.3333333334,293478.6096495015,-1426312.047290534,2013269.266589537,history
2007-05-01,904762.3333333334,691006.8911285931,-1028783.7658114424,2410797.5480686286,history
2007-06-01,904762.3333333334,542056.3219123282,-1177734.3350277073,2261846.978852364,history
2007-07-01,339409.3333333333,639690.6421388474,-1080100.0148011881,2359481.2990788827,history
2007-08-01,339409.3333333333,139942.6965193781,-1579847.9604206574,1859733.3534594136,history
2007-09-01,339409.3333333333,-792.7294413566124,-1720583.3863813921,1718997.927498679,history
