date,Operating_PL,Type,Predicted,Lower,Upper
2002-10-01,-927769.4579125788,history,-927769.4579131413,,
2002-11-01,-871081.8167831029,history,-871081.8167831572,,
2002-12-01,-906878.7253043182,history,-906878.7253044528,,
2003-01-01,-1015986.141093906,history,-1015986.1410939083,,
2003-02-01,-893120.4480765539,history,-893120.4480766059,,
2003-03-01,-1012561.4108295402,history,-1012561.4108296467,,
2003-04-01,-66976.28041074848,history,-66976.28041077108,,
2003-05-01,-67126.55739896912,history,-67126.5573990366,,
2003-06-01,-69774.1621902824,history,-69774.16219041051,,
2003-07-01,-155960.00458185925,history,-155960.00458198367,,
2003-08-01,-157206.9876317842,history,-157206.9876318581,,
2003-09-01,-146845.00778635655,history,-146845.0077863478,,
2003-10-01,-336141.27855576086,history,-336141.2785552192,,
2003-11-01,-322358.89166875725,history,-322358.8916687502,,
2003-12-01,-339126.8297754819,history,-339126.8297753971,,
2004-01-01,-347936.0043277939,history,-347936.0043278122,,
2004-02-01,-332733.70827784494,history,-332733.7082778209,,
2004-03-01,-363832.2873943612,history,-363832.2873943417,,
2004-04-01,-679703.8768669137,history,-679703.8768669349,,
2004-05-01,-697596.3912184357,history,-697596.3912184108,,
2004-06-01,-708768.7319146504,history,-708768.731914598,,
2004-07-01,-368356.3055081784,history,-368356.30550812633,,
2004-08-01,-369699.890727823,history,-369699.8907277677,,
2004-09-01,-333713.80376399856,history,-333713.80376398604,,
2004-10-01,-526135.0222086816,history,-526135.0222086417,,
2004-11-01,-507131.4650407073,history,-507131.46504066436,,
2004-12-01,-533392.5127506111,history,-533392.5127505763,,
2005-01-01,-726334.9507069709,history,-726334.950706949,,
2005-02-01,-674484.2968233889,history,-674484.2968233374,,
2005-03-01,-762331.7524696401,history,-762331.7524696016,,
2005-04-01,-500863.43802290305,history,-500863.43802282336,,
2005-05-01,-521511.7040094983,history,-521511.70400946593,,
2005-06-01,-523113.85796759865,history,-523113.85796755843,,
2005-07-01,-879047.4752900682,history,-879047.4752900181,,
2005-08-01,-873294.3023710168,history,-873294.30237097,,
2005-09-01,-799669.222338915,history,-799669.2223389166,,
2005-10-01,-6301766.378965107,history,-6301766.37896504,,
2005-11-01,-6094036.373108803,history,-6094036.373108768,,
2005-12-01,-6362375.24792609,history,-6362375.247926044,,
2006-01-01,6858931.925652879,history,6858931.925652924,,
2006-02-01,6220536.768545721,history,6220536.768545729,,
2006-03-01,7139159.305801399,history,7139159.305801456,,
2006-04-01,-419880.1522446441,history,-419880.1522446178,,
2006-05-01,-431149.6849763086,history,-431149.6849762368,,
2006-06-01,-435502.16277904727,history,-435502.162778991,,
2006-07-01,98803.25684754289,history,98803.25684760134,,
2006-08-01,98982.95515105131,history,98982.95515109967,,
2006-09-01,90522.7880014058,history,90522.78800144611,,
2006-10-01,-614777.8072479307,history,-614777.8072479161,,
2006-11-01,-586104.4097232939,history,-586104.4097232478,,
2006-12-01,-613900.7830287755,history,-613900.7830287269,,
2007-01-01,-24811.079134393523,history,-24811.079134365733,,
2007-02-01,-22166.56967867785,history,-22166.56967865572,,
2007-03-01,-25603.351186928627,history,-25603.351186867672,,
2007-04-01,885331.0153394367,history,885331.0153394779,,
2007-05-01,911422.7466238138,history,911422.7466238487,,
2007-06-01,917533.2380367495,history,917533.2380367846,,
2007-07-01,348767.3087287856,history,348767.30872885266,,
2007-08-01,348749.8379980169,history,348749.8379980232,,
2007-09-01,320710.8532731974,history,320710.8532732319,,
2007-10-01,-63524.6592228617,history,-63524.65922280686,,
2007-11-01,-61333.58408364402,history,-61333.58408360811,,
2007-12-01,-63449.75669349428,history,-63449.75669346553,,
2008-01-01,-2450314.014714848,history,-2450314.014714794,,
2008-02-01,-2290951.296832003,history,-2290951.2968319673,,
2008-03-01,-2522112.6884531486,history,-2522112.6884531067,,
2008-04-01,-1139828.8172908174,history,-1139828.817290745,,
2008-05-01,-1180813.2807973237,history,-1180813.2807973074,,
2008-06-01,-1190995.9019118587,history,-1190995.901911771,,
2008-07-01,-514975.53115681,history,-514975.5311567297,,
2008-08-01,-506030.2862616574,history,-506030.2862616361,,
2008-09-01,-443327.1825815326,history,-443327.18258150265,,
2008-10-01,-860260.790633303,history,-860260.7906332894,,
2008-11-01,-812963.9329066959,history,-812963.9329066564,,
2008-12-01,-848161.276460001,history,-848161.276459976,,
2009-01-01,-476384.8962233062,history,-476384.89622333396,,
2009-02-01,-432787.11273653636,history,-432787.112736483,,
2009-03-01,-493434.99104015745,history,-493434.99104011134,,
2009-04-01,-119573.18123520736,history,-119573.18123528638,,
2009-05-01,-122102.9604501693,history,-122102.96045013062,,
2009-06-01,-124635.85831462334,history,-124635.8583146099,,
2009-07-01,-5530.158393323162,history,-5530.158393327706,,
2009-08-01,-5427.8974272950345,history,-5427.897427257157,,
2009-09-01,-4843.944179381803,history,-4843.94417936653,,
2009-10-01,-162930.09342488725,history,-162930.09342480192,,
2009-11-01,-155514.38379112966,history,-155514.38379109095,,
2009-12-01,-162975.5227839831,history,-162975.52278392852,,
2010-01-01,-260605.29355834558,history,-260605.29355832387,,
2010-02-01,-231155.20820975536,history,-231155.208209746,,
2010-03-01,-273524.49823189905,history,-273524.4982318463,,
2010-04-01,215964.73348745483,history,215964.73348755948,,
2010-05-01,227125.44916270953,history,227125.44916270726,,
2010-06-01,234690.81734983565,history,234690.81734987753,,
2010-07-01,499558.6141566276,history,499558.61415664677,,
2010-08-01,493513.2452050583,history,493513.24520510325,,
2010-09-01,446247.1406383141,history,446247.1406383075,,
2010-10-01,43367.76210058368,history,43367.76210055878,,
2010-11-01,40906.07982667968,history,40906.07982672034,,
2010-12-01,42356.158072736645,history,42356.15807276781,,
2011-01-01,-260271.5683412963,history,-260271.56834119774,,
2011-02-01,-235344.0844391955,history,-235344.084439167,,
2011-03-01,-278146.34721950814,history,-278146.3472194298,,
2011-04-01,151259.69727695858,history,151259.69727697398,,
2011-05-01,154403.44605392448,history,154403.4460540094,,
2011-06-01,160605.85666911694,history,160605.85666920917,,
2011-07-01,308768.79538545525,history,308768.79538553447,,
2011-08-01,298602.8659627826,history,298602.86596283567,,
2011-09-01,268385.33865176217,history,268385.3386517857,,
2011-10-01,-200874.65306591344,history,-200874.6530658429,,
2011-11-01,-186322.9327703677,history,-186322.93277034597,,
2011-12-01,-197426.41416371884,history,-197426.41416363558,,
2012-01-01,-561006.7766514078,history,-561006.7766514852,,
2012-02-01,-536602.5072581578,history,-536602.5072580877,,
